"REF_DATE","GEO","DGUID","Statistics (3)","Gender (3)","Age (15A)","Highest certificate, diploma or degree (16)","Labour force status (8)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.5.7.1","586425","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.5.8.1","693830","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.5.9.1","1796930","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.5.10.1","261035","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.5.11.1","2837725","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.5.12.1","1808555","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.5.13.1","179225","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.5.14.1","75115","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.5.15.1","659295","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.5.16.1","115530","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.6.1.1","7101745","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.6.2.1","689965","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.6.3.1","1700095","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.6.4.1","4711680","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.6.5.1","2441395","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.6.6.1","914655","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.6.7.1","417115","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.6.8.1","497540","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.6.9.1","1332035","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.6.10.1","194700","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.6.11.1","2270285","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.6.12.1","1459920","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.6.13.1","142070","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.6.14.1","54540","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.6.15.1","531250","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 54 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.6.16.1","82510","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.7.1.1","2453265","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.7.2.1","210945","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.7.3.1","620550","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.7.4.1","1621770","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.7.5.1","798460","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.7.6.1","298680","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.7.7.1","127695","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.7.8.1","170985","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.7.9.1","436815","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.7.10.1","62965","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.7.11.1","823310","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.7.12.1","572195","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.7.13.1","47370","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.7.14.1","18285","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.7.15.1","169665","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 34 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.7.16.1","15795","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.8.1.1","1215635","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.8.2.1","101535","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.8.3.1","332750","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.8.4.1","781345","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.8.5.1","384125","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.8.6.1","135070","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.8.7.1","61010","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.8.8.1","74065","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.8.9.1","216955","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.8.10.1","32100","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.8.11.1","397220","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.8.12.1","296005","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.8.13.1","22595","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.8.14.1","7785","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.8.15.1","67715","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 29 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.8.16.1","3135","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.9.1.1","1237635","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.9.2.1","109410","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.9.3.1","287805","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.9.4.1","840425","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.9.5.1","414335","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.9.6.1","163610","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.9.7.1","66685","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.9.8.1","96920","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.9.9.1","219860","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.9.10.1","30870","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.9.11.1","426090","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.9.12.1","276190","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.9.13.1","24785","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.9.14.1","10505","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.9.15.1","101955","","","","0"
"2021","Canada","2021A000011124","Count","Men+","30 to 34 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.9.16.1","12660","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.10.1.1","2384020","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.10.2.1","224070","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.10.3.1","540515","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.10.4.1","1619440","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.10.5.1","845700","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.10.6.1","327040","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.10.7.1","148240","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.10.8.1","178795","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.10.9.1","453020","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.10.10.1","65635","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.10.11.1","773740","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.10.12.1","473405","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.10.13.1","49500","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.10.14.1","17630","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.10.15.1","198275","","","","0"
"2021","Canada","2021A000011124","Count","Men+","35 to 44 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.10.16.1","34930","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.11.1.1","2264460","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.11.2.1","254955","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.11.3.1","539030","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.11.4.1","1470470","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.11.5.1","797240","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.11.6.1","288935","","","","0"
"2021","Canada","2021A000011124","Count","Men+","45 to 54 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.11.7.1","141180","","","","0"
